            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460597.500000000, A.D. 2024-Oct-14 00:00:00.0000,  1.385540277049275E+08,  5.229660793923160E+07,  2.459874261009693E+04, -1.105536496764477E+01,  2.771612363433472E+01, -2.704226689440148E-03,
2460598.500000000, A.D. 2024-Oct-15 00:00:00.0000,  1.375782157359728E+08,  5.468320762917548E+07,  2.435939326551557E+04, -1.153232207252038E+01,  2.752796235652564E+01, -2.825391112004638E-03,
2460599.500000000, A.D. 2024-Oct-16 00:00:00.0000,  1.365613370990731E+08,  5.705322146946335E+07,  2.411258202656731E+04, -1.200599459970084E+01,  2.733221671030719E+01, -2.874982693114703E-03,
2460600.500000000, A.D. 2024-Oct-17 00:00:00.0000,  1.355036717363202E+08,  5.940599949625640E+07,  2.386490585934743E+04, -1.247647794361770E+01,  2.712899642815903E+01, -2.844666354560488E-03,
2460601.500000000, A.D. 2024-Oct-18 00:00:00.0000,  1.344054902663755E+08,  6.174089744428153E+07,  2.362333341060579E+04, -1.294388550661126E+01,  2.691832133357589E+01, -2.734457945717139E-03,
2460602.500000000, A.D. 2024-Oct-19 00:00:00.0000,  1.332670543444269E+08,  6.405726873721726E+07,  2.339444272605702E+04, -1.340830387026450E+01,  2.670012013964754E+01, -2.553269249393253E-03,
2460603.500000000, A.D. 2024-Oct-20 00:00:00.0000,  1.320886207506199E+08,  6.635445749560854E+07,  2.318371632516012E+04, -1.386975433179065E+01,  2.647425452017747E+01, -2.317068757363927E-03,
2460604.500000000, A.D. 2024-Oct-21 00:00:00.0000,  1.308704479725459E+08,  6.863179438046192E+07,  2.299507273615524E+04, -1.432817518241159E+01,  2.624055810045981E+01, -2.045469072541550E-03,
2460605.500000000, A.D. 2024-Oct-22 00:00:00.0000,  1.296128032862323E+08,  7.088859585560319E+07,  2.283070756433159E+04, -1.478342719900260E+01,  2.599887399733187E+01, -1.758220633275798E-03,
2460606.500000000, A.D. 2024-Oct-23 00:00:00.0000,  1.283159686426210E+08,  7.312416617929660E+07,  2.269119730751589E+04, -1.523531387320151E+01,  2.574907929548021E+01, -1.472761401787537E-03,
2460607.500000000, A.D. 2024-Oct-24 00:00:00.0000,  1.269802445893899E+08,  7.533780083385418E+07,  2.257575482729822E+04, -1.568360493151054E+01,  2.549109417921944E+01, -1.203144045200943E-03,
2460608.500000000, A.D. 2024-Oct-25 00:00:00.0000,  1.256059523190645E+08,  7.752879022356348E+07,  2.248252812249959E+04, -1.612805534243366E+01,  2.522487999454253E+01, -9.600244111460654E-04,
